build_y,offi_nm,size,year,month,day,dong,bo_price,mo_price,ji_code,floor
2016,지웰에스테이트 오피스텔,28.52,2019,10,5, 복대동,"3,000",23,43113,9
2017,대농지구 롯데캐슬시티,33.45,2019,10,5, 복대동,"11,000",0,43113,12
2017,대농지구 롯데캐슬시티,44.09,2019,10,6, 복대동,"1,000",80,43113,3
2016,지웰에스테이트 오피스텔,29.24,2019,10,10, 복대동,"8,000",0,43113,6
2017,대농지구 롯데캐슬시티,33.45,2019,10,11, 복대동,"12,000",0,43113,4
2016,지웰에스테이트 오피스텔,30.33,2019,10,12, 복대동,500,44,43113,9
2017,대농지구 롯데캐슬시티,33.45,2019,10,12, 복대동,"11,000",0,43113,11
2017,대농지구 롯데캐슬시티,48.35,2019,10,15, 복대동,"17,000",0,43113,12
2017,대농지구 롯데캐슬시티,33.45,2019,10,16, 복대동,300,50,43113,5
2016,지웰에스테이트 오피스텔,32.06,2019,10,16, 복대동,500,45,43113,4
2016,지웰에스테이트 오피스텔,30.33,2019,10,16, 복대동,"10,500",0,43113,3
2017,대농지구 롯데캐슬시티,28.47,2019,10,20, 복대동,400,48,43113,9
2016,지웰에스테이트 오피스텔,52.09,2019,10,20, 복대동,"15,000",0,43113,13
2017,대농지구 롯데캐슬시티,53,2019,10,21, 복대동,"17,000",0,43113,9
2017,대농지구 롯데캐슬시티,28.47,2019,10,22, 복대동,500,50,43113,4
2016,지웰에스테이트 오피스텔,28.52,2019,10,22, 복대동,"10,000",0,43113,10
2017,대농지구 롯데캐슬시티,28.47,2019,10,24, 복대동,"11,000",0,43113,8
2017,대농지구 롯데캐슬시티,33.45,2019,10,24, 복대동,"11,000",0,43113,3
2017,대농지구 롯데캐슬시티,33.45,2019,10,24, 복대동,"1,000",50,43113,14
2016,지웰에스테이트 오피스텔,28.8,2019,10,24, 복대동,"10,000",0,43113,12
2017,대농지구 롯데캐슬시티,44.96,2019,10,25, 복대동,"3,000",50,43113,14
2017,대농지구 롯데캐슬시티,44.96,2019,10,27, 복대동,"17,000",0,43113,13
2017,대농지구 롯데캐슬시티,33.45,2019,10,27, 복대동,"3,000",33,43113,7
2019,청주 지웰시티 푸르지오,84.92,2019,10,27, 복대동,"19,000",0,43113,10
2017,대농지구 롯데캐슬시티,28.47,2019,10,28, 복대동,"12,000",0,43113,11
2017,대농지구 롯데캐슬시티,48.35,2019,10,29, 복대동,"5,000",45,43113,9
2016,지웰에스테이트 오피스텔,32.91,2019,10,30, 복대동,"10,500",0,43113,9
2019,청주 지웰시티 푸르지오,84.92,2019,10,31, 복대동,"20,000",0,43113,20
2017,대농지구 롯데캐슬시티,44.96,2019,10,31, 복대동,"3,000",45,43113,9
2017,대농지구 롯데캐슬시티,33.45,2019,11,2, 복대동,"3,000",35,43113,15
2017,대농지구 롯데캐슬시티,33.45,2019,11,3, 복대동,"3,000",30,43113,11
2017,대농지구 롯데캐슬시티,44.09,2019,11,4, 복대동,"15,000",0,43113,11
2017,대농지구 롯데캐슬시티,37.16,2019,11,6, 복대동,"3,000",40,43113,6
2017,대농지구 롯데캐슬시티,48.35,2019,11,7, 복대동,"17,000",0,43113,15
2016,지웰에스테이트 오피스텔,25.23,2019,11,8, 복대동,"9,000",0,43113,10
2017,대농지구 롯데캐슬시티,33.45,2019,11,10, 복대동,"12,000",0,43113,3
2016,지웰에스테이트 오피스텔,32.91,2019,11,11, 복대동,"11,000",0,43113,12
2017,대농지구 롯데캐슬시티,50.53,2019,11,13, 복대동,"18,000",0,43113,13
2017,대농지구 롯데캐슬시티,33.45,2019,11,14, 복대동,"11,000",0,43113,11
2016,지웰에스테이트 오피스텔,44.92,2019,11,15, 복대동,500,60,43113,15
2017,대농지구 롯데캐슬시티,33.45,2019,11,15, 복대동,300,60,43113,15
2017,대농지구 롯데캐슬시티,44.96,2019,11,16, 복대동,"17,000",0,43113,8
2016,지웰에스테이트 오피스텔,29.24,2019,11,19, 복대동,"8,000",0,43113,13
2016,지웰에스테이트 오피스텔,27.61,2019,11,20, 복대동,"10,000",0,43113,7
2017,대농지구 롯데캐슬시티,28.47,2019,11,23, 복대동,"11,000",0,43113,13
2017,대농지구 롯데캐슬시티,50.53,2019,11,23, 복대동,"1,000",70,43113,13
2016,지웰에스테이트 오피스텔,27.61,2019,11,24, 복대동,"9,000",0,43113,12
2016,지웰에스테이트 오피스텔,27,2019,11,26, 복대동,"9,000",0,43113,5
2016,지웰에스테이트 오피스텔,29.24,2019,11,28, 복대동,"9,000",0,43113,10
2017,대농지구 롯데캐슬시티,48.35,2019,11,28, 복대동,"12,000",0,43113,4
2016,지웰에스테이트 오피스텔,37.22,2019,11,28, 복대동,"11,000",0,43113,5
2016,지웰에스테이트 오피스텔,28.8,2019,12,2, 복대동,"3,000",30,43113,5
2017,대농지구 롯데캐슬시티,50.53,2019,12,2, 복대동,"1,000",70,43113,6
2017,대농지구 롯데캐슬시티,48.35,2019,12,4, 복대동,"18,000",0,43113,12
2017,대농지구 롯데캐슬시티,48.35,2019,12,5, 복대동,"17,000",0,43113,7
2017,대농지구 롯데캐슬시티,33.45,2019,12,7, 복대동,"3,000",35,43113,10
2016,지웰에스테이트 오피스텔,45.28,2019,12,8, 복대동,"1,000",55,43113,13
2015,(3337),54.96,2019,12,9, 복대동,"1,000",55,43113,4
2017,대농지구 롯데캐슬시티,48.35,2019,12,9, 복대동,"17,000",0,43113,5
2016,지웰에스테이트 오피스텔,28.52,2019,12,10, 복대동,300,44,43113,3
2017,대농지구 롯데캐슬시티,28.47,2019,12,10, 복대동,"10,500",0,43113,7
2016,지웰에스테이트 오피스텔,32.91,2019,12,11, 복대동,"11,000",0,43113,3
2016,지웰에스테이트 오피스텔,55,2019,12,13, 복대동,"15,000",0,43113,9
2016,지웰에스테이트 오피스텔,48.01,2019,12,13, 복대동,"13,000",0,43113,14
2019,청주 지웰시티 푸르지오,84.92,2019,12,14, 복대동,"18,000",0,43113,17
2017,대농지구 롯데캐슬시티,28.47,2019,12,14, 복대동,"3,000",30,43113,12
