시군구,번지,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,44.96,202001,9,"17,000",0,11,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,202001,13,"9,000",10,3,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,40.84,202001,14,"3,000",40,15,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,28.47,202001,15,500,42,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,202001,16,500,45,14,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202001,17,"12,000",0,4,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202001,18,"11,000",0,11,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202001,18,"11,000",0,10,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,48.35,202001,19,"4,000",50,14,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,37.16,202001,20,"15,000",0,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,28.47,202001,23,"11,000",0,8,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,37.16,202001,23,"15,000",0,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202001,29,"18,000",0,11,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,202001,31,500,50,15,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,44.96,202002,1,"17,000",0,15,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202002,3,"18,000",0,11,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,28.47,202002,4,500,45,3,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,40.84,202002,10,"15,000",0,10,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202002,10,"19,000",0,13,2017,진재로 141
